x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
74,74,0.0,chi2,MCAR,9.581791360390638e-101,0.40591184102234357
74,74,0.0,chi2,MAR,9.581791360390638e-101,0.40591184102234357
74,74,0.0,chi2,MNAR,9.581791360390638e-101,0.40591184102234357
74,74,0.1,chi2,MCAR,1.1086176784047752e-76,0.39829021091112143
74,74,0.1,chi2,MAR,3.3738712870873395e-89,0.4067787236690808
74,74,0.1,chi2,MNAR,9.581791360390638e-101,0.40591184102234357
74,74,0.2,chi2,MCAR,1.442649091097514e-65,0.40884974932486395
74,74,0.2,chi2,MAR,2.0159809489926434e-84,0.41941206274660436
74,74,0.2,chi2,MNAR,9.581791360390638e-101,0.40591184102234357
74,74,0.3,chi2,MCAR,1.2457924557795137e-55,0.4196456254051942
74,74,0.3,chi2,MAR,1.5721659217817573e-74,0.416210211177273
74,74,0.3,chi2,MNAR,5.948406699448999e-67,0.492714544402026
74,74,0.4,chi2,MCAR,2.6219921658645353e-40,0.42045438226713755
74,74,0.4,chi2,MAR,4.935158880839124e-67,0.4259409771816497
74,74,0.4,chi2,MNAR,5.948406699448999e-67,0.492714544402026
75,75,0.0,chi2,MCAR,1.2430404874375856e-102,0.4095144499690432
75,75,0.0,chi2,MAR,1.2430404874375856e-102,0.4095144499690432
75,75,0.0,chi2,MNAR,1.2430404874375856e-102,0.4095144499690432
75,75,0.1,chi2,MCAR,1.2046605675172314e-86,0.4216856055345444
75,75,0.1,chi2,MAR,1.5416888241258298e-85,0.3954574014648196
75,75,0.1,chi2,MNAR,1.2430404874375856e-102,0.4095144499690432
75,75,0.2,chi2,MCAR,3.747188179032547e-71,0.426127414352931
75,75,0.2,chi2,MAR,3.117551947145067e-75,0.3944813685281074
75,75,0.2,chi2,MNAR,1.2430404874375856e-102,0.4095144499690432
75,75,0.3,chi2,MCAR,7.354131313145227e-50,0.41764563462016
75,75,0.3,chi2,MAR,4.230433505646074e-67,0.4012641099638242
75,75,0.3,chi2,MNAR,1.0267184808867733e-66,0.492995655854645
75,75,0.4,chi2,MCAR,2.805825351529524e-38,0.42891819800155506
75,75,0.4,chi2,MAR,3.272423177071005e-51,0.3819789961839401
75,75,0.4,chi2,MNAR,1.0267184808867733e-66,0.492995655854645
76,76,0.0,chi2,MCAR,4.751629551454296e-89,0.38280410494440337
76,76,0.0,chi2,MAR,4.751629551454296e-89,0.38280410494440337
76,76,0.0,chi2,MNAR,4.751629551454296e-89,0.38280410494440337
76,76,0.1,chi2,MCAR,7.012039933406421e-80,0.4055359663113869
76,76,0.1,chi2,MAR,8.971642593004955e-77,0.3761929925837969
76,76,0.1,chi2,MNAR,4.751629551454296e-89,0.38280410494440337
76,76,0.2,chi2,MCAR,4.8696471245622156e-64,0.40874123305260945
76,76,0.2,chi2,MAR,1.6753069529088034e-60,0.35752130704020807
76,76,0.2,chi2,MNAR,4.751629551454296e-89,0.38280410494440337
76,76,0.3,chi2,MCAR,3.959838328852561e-40,0.37530157579705575
76,76,0.3,chi2,MAR,4.835398107508576e-41,0.31840685307544914
76,76,0.3,chi2,MNAR,1.7608498104978433e-49,0.42563343312529034
76,76,0.4,chi2,MCAR,5.684019266137084e-32,0.38892586751891917
