x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
10,10,0.4,kruskal,MCAR,0.003854668152310281,0.029283448439850937
10,10,0.4,kruskal,MAR,1.1240793037603503e-05,0.039067352623523816
10,10,0.4,kruskal,MNAR,0.3512030306618529,0.00019615555099881406
11,11,0.0,anova,MCAR,3.878573062275821e-147,0.49476522251917904
11,11,0.0,anova,MAR,3.878573062275821e-147,0.49476522251917904
11,11,0.0,anova,MNAR,3.878573062275821e-147,0.49476522251917904
11,11,0.0,kruskal,MCAR,1.2222477474566062e-09,0.04159747885849111
11,11,0.0,kruskal,MAR,1.2222477474566062e-09,0.04159747885849111
11,11,0.0,kruskal,MNAR,1.2222477474566062e-09,0.04159747885849111
11,11,0.1,anova,MCAR,2.8240557797701896e-118,0.4951962128391024
11,11,0.1,anova,MAR,2.5141524314068205e-129,0.48611825935775194
11,11,0.1,anova,MNAR,7.239869342544176e-115,0.44724282747983224
11,11,0.1,kruskal,MCAR,1.7486949532852236e-07,0.039070963503107806
11,11,0.1,kruskal,MAR,7.623476849794031e-09,0.04196639714953974
11,11,0.1,kruskal,MNAR,4.426126227086158e-06,0.02744506062891361
11,11,0.2,anova,MCAR,8.581315817685106e-91,0.48662435636960905
11,11,0.2,anova,MAR,4.340966448229281e-114,0.4858659959721475
11,11,0.2,anova,MNAR,1.8388301329200443e-79,0.3700395453385675
11,11,0.2,kruskal,MCAR,7.426759087714174e-07,0.04488648246875448
11,11,0.2,kruskal,MAR,1.9188696476213352e-07,0.03917496556366394
11,11,0.2,kruskal,MNAR,3.3103077292317984e-05,0.025645777830541373
11,11,0.3,anova,MCAR,7.70054020012933e-67,0.4823161241041535
11,11,0.3,anova,MAR,9.762639126986863e-93,0.46790943072171504
11,11,0.3,anova,MNAR,2.616604973831172e-39,0.24986693133538201
11,11,0.3,kruskal,MCAR,6.240108687693979e-05,0.04062248870503781
11,11,0.3,kruskal,MAR,1.1195465412172645e-05,0.03333448456538422
11,11,0.3,kruskal,MNAR,0.020318244109048034,0.010706972539600295
11,11,0.4,anova,MCAR,1.202119415012485e-45,0.46313552595716806
11,11,0.4,anova,MAR,4.339534158631485e-68,0.4176983498958038
11,11,0.4,anova,MNAR,1.3740255253402693e-30,0.22052116213548753
11,11,0.4,kruskal,MCAR,6.992479646206196e-05,0.055455739801741
11,11,0.4,kruskal,MAR,9.448565819025756e-05,0.03126259601950234
11,11,0.4,kruskal,MNAR,0.04502344749215492,0.00895766255664313
12,12,0.0,anova,MCAR,1.0966995922158318e-150,0.5029954082022512
12,12,0.0,anova,MAR,1.0966995922158318e-150,0.5029954082022512
12,12,0.0,anova,MNAR,1.0966995922158318e-150,0.5029954082022512
12,12,0.0,kruskal,MCAR,1.383426706524915e-11,0.05077665678899426
12,12,0.0,kruskal,MAR,1.383426706524915e-11,0.05077665678899426
12,12,0.0,kruskal,MNAR,1.383426706524915e-11,0.05077665678899426
12,12,0.1,anova,MCAR,1.7214546958153852e-121,0.5010091839665102
12,12,0.1,anova,MAR,1.1151824839216928e-126,0.4809844703978703
12,12,0.1,anova,MNAR,3.212808848064356e-115,0.4482457284959023
12,12,0.1,kruskal,MCAR,1.2824729056504225e-09,0.051154418607825505
12,12,0.1,kruskal,MAR,4.850552182134038e-09,0.043530532384420284
12,12,0.1,kruskal,MNAR,1.2366674351227402e-10,0.0514607900055906
12,12,0.2,anova,MCAR,6.566365905021424e-99,0.5096346989215421
12,12,0.2,anova,MAR,8.640530456293184e-103,0.4542904090069698
12,12,0.2,anova,MNAR,1.9208104814301892e-84,0.387970407345433
12,12,0.2,kruskal,MCAR,2.668527378624219e-06,0.03993396648912364
12,12,0.2,kruskal,MAR,1.1308874170445904e-08,0.0469185592942707
12,12,0.2,kruskal,MNAR,9.13198956453698e-08,0.040945146918723516
12,12,0.3,anova,MCAR,2.2289863928962433e-71,0.4947189745856245
12,12,0.3,anova,MAR,1.2190428458177268e-84,0.4359693293955207
12,12,0.3,anova,MNAR,6.2261645351481e-43,0.26691006936244094
12,12,0.3,kruskal,MCAR,0.0011813623674976625,0.026680335387400306
12,12,0.3,kruskal,MAR,5.3032191971169595e-09,0.05561351422372648
12,12,0.3,kruskal,MNAR,0.000984294610392844,0.021817993756603187
12,12,0.4,anova,MCAR,1.6274640559821814e-52,0.4950096117197131
12,12,0.4,anova,MAR,2.747882062186458e-72,0.43398185775186066
12,12,0.4,anova,MNAR,6.027265433626936e-31,0.22143406689915932
12,12,0.4,kruskal,MCAR,0.0035576218062360887,0.029683064272122014
12,12,0.4,kruskal,MAR,5.686158655038298e-09,0.06413099018113003
12,12,0.4,kruskal,MNAR,0.003532617448177011,0.01935715081694459
13,13,0.0,anova,MCAR,1.7479625228483263e-141,0.48136921779115166
13,13,0.0,anova,MAR,1.7479625228483263e-141,0.48136921779115166
13,13,0.0,anova,MNAR,1.7479625228483263e-141,0.48136921779115166
13,13,0.0,kruskal,MCAR,4.228284389284909e-12,0.05319958297124583
13,13,0.0,kruskal,MAR,4.228284389284909e-12,0.05319958297124583
13,13,0.0,kruskal,MNAR,4.228284389284909e-12,0.05319958297124583
13,13,0.1,anova,MCAR,1.3313271160494627e-106,0.46552527743415145
13,13,0.1,anova,MAR,1.662979866106954e-113,0.4397476398180018
13,13,0.1,anova,MNAR,1.505199851617258e-104,0.41709338167419585
13,13,0.1,kruskal,MCAR,1.1592334869803267e-09,0.05278180902789633
13,13,0.1,kruskal,MAR,4.785695173481486e-10,0.04903489337771371
13,13,0.1,kruskal,MNAR,1.252527082051813e-09,0.046184226547573815
13,13,0.2,anova,MCAR,6.332499877906251e-85,0.4624988819261785
13,13,0.2,anova,MAR,7.515523138215336e-84,0.38737425028051825
13,13,0.2,anova,MNAR,1.1083432717723973e-76,0.3598028340265597
13,13,0.2,kruskal,MCAR,5.5018142153251404e-08,0.05313284751073771
13,13,0.2,kruskal,MAR,9.028312653036608e-09,0.0478097330540255
13,13,0.2,kruskal,MNAR,3.522819965662283e-05,0.025483005182163492
13,13,0.3,anova,MCAR,8.16276854060103e-67,0.47085591264690463
13,13,0.3,anova,MAR,8.326518982569549e-63,0.3452175311651949
13,13,0.3,anova,MNAR,1.750213803542469e-39,0.2501442721206085
13,13,0.3,kruskal,MCAR,9.119715727257116e-06,0.047516225464878964
13,13,0.3,kruskal,MAR,4.354833249564649e-08,0.049655076474397625
13,13,0.3,kruskal,MNAR,0.005748611680478022,0.014959701079853465
13,13,0.4,anova,MCAR,1.1708956021851002e-48,0.468154079738585
13,13,0.4,anova,MAR,2.1195182022483642e-43,0.29062666623640476
13,13,0.4,anova,MNAR,3.821894898094064e-27,0.20072328825548108
13,13,0.4,kruskal,MCAR,6.852968357828892e-05,0.05293284598076266
13,13,0.4,kruskal,MAR,4.95949891266001e-07,0.047879600230943786
13,13,0.4,kruskal,MNAR,0.15716243272311414,0.0035143611782440386
14,14,0.0,anova,MCAR,5.4155633649828195e-140,0.47777730470517216
14,14,0.0,anova,MAR,5.4155633649828195e-140,0.47777730470517216
14,14,0.0,anova,MNAR,5.4155633649828195e-140,0.47777730470517216
14,14,0.0,kruskal,MCAR,1.050048936690473e-12,0.056044684279575645
14,14,0.0,kruskal,MAR,1.050048936690473e-12,0.056044684279575645
14,14,0.0,kruskal,MNAR,1.050048936690473e-12,0.056044684279575645
14,14,0.1,anova,MCAR,6.935473772652183e-112,0.47625586278001897
14,14,0.1,anova,MAR,1.018419095950091e-120,0.4636417633282027
14,14,0.1,anova,MNAR,4.970343797114405e-103,0.4125181344222789
14,14,0.1,kruskal,MCAR,1.1160516955044386e-11,0.06376365893472836
14,14,0.1,kruskal,MAR,7.956175718248915e-10,0.04721928780439707
14,14,0.1,kruskal,MNAR,2.7097438837220267e-07,0.03387901347832667
14,14,0.2,anova,MCAR,2.1232053292449007e-88,0.47701059398551754
14,14,0.2,anova,MAR,1.6420487041125698e-102,0.4447301263984443
14,14,0.2,anova,MNAR,6.848260352838645e-80,0.3716042941034144
14,14,0.2,kruskal,MCAR,1.4704593098713303e-10,0.0725128633765733
14,14,0.2,kruskal,MAR,9.778052700859519e-09,0.046124045253373644
14,14,0.2,kruskal,MNAR,0.0013559068390390783,0.015855707475740548
14,14,0.3,anova,MCAR,6.328335079710041e-67,0.4693415471747051
14,14,0.3,anova,MAR,1.0058095727039523e-83,0.4196952786511465
14,14,0.3,anova,MNAR,8.572848691859882e-45,0.2765045471592076
14,14,0.3,kruskal,MCAR,8.695218434162655e-09,0.07651616551254416
14,14,0.3,kruskal,MAR,1.5040085499240519e-07,0.044335348591611944
14,14,0.3,kruskal,MNAR,0.2603597703873287,0.0012547763055640636
14,14,0.4,anova,MCAR,4.0695497710839445e-53,0.4893991557581813
14,14,0.4,anova,MAR,5.1977957770605114e-70,0.40765733593766773
14,14,0.4,anova,MNAR,2.4514206576731396e-29,0.21166156695155833
14,14,0.4,kruskal,MCAR,0.00015965982747812024,0.046798661959996934
14,14,0.4,kruskal,MAR,2.0659279585943935e-06,0.0422724630727984
14,14,0.4,kruskal,MNAR,0.1804713448683669,0.0029798463096395614
15,15,0.0,anova,MCAR,4.5951831421778825e-149,0.49924982765364
15,15,0.0,anova,MAR,4.5951831421778825e-149,0.49924982765364
15,15,0.0,anova,MNAR,4.5951831421778825e-149,0.49924982765364
15,15,0.0,kruskal,MCAR,1.4106630308319268e-09,0.04130322776019152
15,15,0.0,kruskal,MAR,1.4106630308319268e-09,0.04130322776019152
15,15,0.0,kruskal,MNAR,1.4106630308319268e-09,0.04130322776019152
15,15,0.1,anova,MCAR,1.1341330983261853e-122,0.4996692692015856
15,15,0.1,anova,MAR,2.4460749386711304e-122,0.4749294508805919
15,15,0.1,anova,MNAR,4.425077206737372e-109,0.43053327513889145
15,15,0.1,kruskal,MCAR,1.6203522967828121e-09,0.04988361654255681
15,15,0.1,kruskal,MAR,1.120573234203448e-08,0.041317761285844544
15,15,0.1,kruskal,MNAR,1.1398976906829006e-07,0.03586679082822845
15,15,0.2,anova,MCAR,3.6409330512688125e-95,0.4968047433081999
15,15,0.2,anova,MAR,1.9322660501484243e-105,0.4601861239178076
15,15,0.2,anova,MNAR,2.799574162312013e-79,0.3693724570250478
15,15,0.2,kruskal,MCAR,9.016024260510846e-08,0.050887045857990955
15,15,0.2,kruskal,MAR,1.0470146064589514e-06,0.03450569781060242
15,15,0.2,kruskal,MNAR,1.318505781222612e-06,0.03403793469851678
15,15,0.3,anova,MCAR,1.870184847202534e-68,0.4839696109911009
15,15,0.3,anova,MAR,2.348775246004778e-92,0.4564009841905413
15,15,0.3,anova,MNAR,1.7110648117789623e-38,0.2425752199834541
15,15,0.3,kruskal,MCAR,4.2483093887213386e-07,0.061439841301846515
15,15,0.3,kruskal,MAR,2.1038047690380424e-05,0.030293849498174503
15,15,0.3,kruskal,MNAR,0.0012364892474808764,0.020900840979713578
15,15,0.4,anova,MCAR,6.410647272383772e-55,0.48885564074967025
15,15,0.4,anova,MAR,1.1122066145587348e-77,0.4475020409233482
15,15,0.4,anova,MNAR,1.288012657539337e-30,0.2200018466808189
15,15,0.4,kruskal,MCAR,0.00036286481331659903,0.04064627313216312
15,15,0.4,kruskal,MAR,2.5801024007177098e-05,0.035299701402801406
15,15,0.4,kruskal,MNAR,0.0009208030591728589,0.02549048671601358
16,16,0.0,anova,MCAR,1.241890787263588e-156,0.5164859056841635
16,16,0.0,anova,MAR,1.241890787263588e-156,0.5164859056841635
16,16,0.0,anova,MNAR,1.241890787263588e-156,0.5164859056841635
16,16,0.0,kruskal,MCAR,5.652200929517903e-11,0.04789716067065443
16,16,0.0,kruskal,MAR,5.652200929517903e-11,0.04789716067065443
16,16,0.0,kruskal,MNAR,5.652200929517903e-11,0.04789716067065443
16,16,0.1,anova,MCAR,7.419300017083391e-129,0.5277222203170557
16,16,0.1,anova,MAR,1.0877415076927109e-129,0.4913045005479717
16,16,0.1,anova,MNAR,1.1259952927215496e-115,0.44953727739443744
16,16,0.1,kruskal,MCAR,9.602309392064967e-09,0.04686792871496182
16,16,0.1,kruskal,MAR,4.097020500637427e-10,0.04856967168117759
16,16,0.1,kruskal,MNAR,4.3517705883400204e-05,0.02214755999869717
16,16,0.2,anova,MCAR,4.1076542280764144e-100,0.5177040246769189
16,16,0.2,anova,MAR,2.44174127889579e-114,0.48921401506205087
16,16,0.2,anova,MNAR,1.4320628602953484e-79,0.3704359876060108
16,16,0.2,kruskal,MCAR,1.0399728138654751e-06,0.04343933442413671
16,16,0.2,kruskal,MAR,2.211568606025338e-08,0.044490190270856884
16,16,0.2,kruskal,MNAR,0.0071502032871666454,0.011393326396788283
16,16,0.3,anova,MCAR,3.595054770317425e-84,0.5382282829911408
